filename,decision,destination
Wiegmann et al. - 2023 - A digital patient reported outcome electronic patient reported outcome system for patients with seve.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Wiegmann et al. - 2023 - A digital patient reported outcome electronic patient reported outcome system for patients with seve.txt
Wiljen et al. - 2022 - The Development of an mHealth Tool for Children With Long term Illness to Enable Person Centered Com.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Wiljen et al. - 2022 - The Development of an mHealth Tool for Children With Long term Illness to Enable Person Centered Com.txt
Willard et al. - 2018 - Development and testing of an online community care platform for frail older adults in the Netherlan.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Willard et al. - 2018 - Development and testing of an online community care platform for frail older adults in the Netherlan.txt
Wille et al. - 2022 - Supporting direct support professionals in enabling people with intellectual disabilities to engage.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Wille et al. - 2022 - Supporting direct support professionals in enabling people with intellectual disabilities to engage.txt
Witteman HO - 2017 - Negotiating Tensions Between Theory and Design in the Development of Mailings for People Recovering.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Witteman HO - 2017 - Negotiating Tensions Between Theory and Design in the Development of Mailings for People Recovering.txt
Wollmann et al. - 2016 - User Centred Design and Usability Evaluation of a Heart Rate Variability Biofeedback Game.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Wollmann et al. - 2016 - User Centred Design and Usability Evaluation of a Heart Rate Variability Biofeedback Game.txt
Wolpin S.E. et al. - 2015 - Development and usability testing of a web based cancer symptom and quality of life support interven.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Wolpin S.E. et al. - 2015 - Development and usability testing of a web based cancer symptom and quality of life support interven.txt
Wong AH - 2024 - Formative evaluation of an emergency department clinical decision support system for agitation sympt.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Wong AH - 2024 - Formative evaluation of an emergency department clinical decision support system for agitation sympt.txt
Woodward et al. - 2024 - How to co design a prototype of a clinical practice tool a framework with practical guidance and a c.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Woodward et al. - 2024 - How to co design a prototype of a clinical practice tool a framework with practical guidance and a c.txt
Wysocki T - 2018 - A Web Based Coping Intervention by and for Parents of Very Young Children With Type 1 Diabetes User.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Wysocki T - 2018 - A Web Based Coping Intervention by and for Parents of Very Young Children With Type 1 Diabetes User.txt
Yang et al. - 2024 - Design Decision Support for Healthcare Architecture A VR Integrated Approach for Measuring User Perc.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Yang et al. - 2024 - Design Decision Support for Healthcare Architecture A VR Integrated Approach for Measuring User Perc.txt
Yau et al. - 2023 - Using Human Centered Design and Cocreation to Create the Live 5 2 1 0 Mobile App to Promote Healthy.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Yau et al. - 2023 - Using Human Centered Design and Cocreation to Create the Live 5 2 1 0 Mobile App to Promote Healthy.txt
Yee et al. - 2021 - Patient and Provider Perspectives on a Novel Mobile Health Intervention for Low Income Pregnant Wome.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Yee et al. - 2021 - Patient and Provider Perspectives on a Novel Mobile Health Intervention for Low Income Pregnant Wome.txt
Young et al. - 2023 - Remote Cognitive Screening Of Healthy Older Adults for Primary Care With the MyCog Mobile App Iterat.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Young et al. - 2023 - Remote Cognitive Screening Of Healthy Older Adults for Primary Care With the MyCog Mobile App Iterat.txt
Young et al. - 2024 - User Centered Design and Usability of a Culturally Adapted Virtual Survivorship Care App for Chinese.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Young et al. - 2024 - User Centered Design and Usability of a Culturally Adapted Virtual Survivorship Care App for Chinese.txt
Zellner K.A. et al. - 2023 - Understanding Delay Awareness and Mitigation Mechanisms through an Iterative Design and Evaluation o.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Zellner K.A. et al. - 2023 - Understanding Delay Awareness and Mitigation Mechanisms through an Iterative Design and Evaluation o.txt
Zhang et al. - 2019 - A Patient Centered Mobile Phone App iHeartU With a Virtual Human Assistant for Self Management of He.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Zhang et al. - 2019 - A Patient Centered Mobile Phone App iHeartU With a Virtual Human Assistant for Self Management of He.txt
Zheng et al. - 2021 - Development and evaluation of a decision aid for family surrogate decision makers for patients with.txt,exclude,data\fulltext_screening\sorted_based_on_decision\excluded\Zheng et al. - 2021 - Development and evaluation of a decision aid for family surrogate decision makers for patients with.txt
Zou and Peng - 2022 - Simultaneously Monitoring System Design for Infants Temperature A Human Centred Design HCD in Fashio.txt,include,data\fulltext_screening\sorted_based_on_decision\included\Zou and Peng - 2022 - Simultaneously Monitoring System Design for Infants Temperature A Human Centred Design HCD in Fashio.txt
